Brand,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price
Samsung,3220,5.7,Yes,1440,2560,4,3000,32,16,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,27900
Samsung,3000,5.6,Yes,1600,2560,4,3000,32,16,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,29950
Xiaomi,3080,5,Yes,1080,1920,4,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,No,7987
Lenovo,4000,6,Yes,1440,2560,4,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,29999
OnePlus,3100,5.5,Yes,1080,1920,4,3000,16,13,5,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,21999
Samsung,2800,5.1,Yes,1080,1920,8,2000,16,16,2,Android,Yes,Yes,Yes,1,Yes,Yes,33999
Sony,3200,5.2,Yes,1080,1920,4,3000,16,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,35990
Sony,2300,4.3,Yes,720,1280,4,2000,16,20.7,2,Android,Yes,Yes,Yes,1,Yes,Yes,11999
Gionee,2500,5.5,Yes,1080,1920,4,2000,16,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,3699
Samsung,2600,5.2,Yes,720,1280,4,1000,8,8,1.9,Android,Yes,Yes,Yes,2,Yes,Yes,15999
Motorola,2070,4.5,Yes,720,1280,4,1000,8,5,1.3,Android,Yes,Yes,Yes,2,Yes,No,9999
LG,2300,4.95,Yes,1080,1920,4,2000,16,8,1.3,Android,Yes,Yes,Yes,1,Yes,Yes,12000
Nokia,3400,6,Yes,1080,1920,4,2000,32,20,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,34990
Apple,1507,4,Yes,640,1136,2,1000,8,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,8499
Xiaomi,3050,5,Yes,1080,1920,4,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,No,13999
Samsung,3200,5.7,Yes,1080,1920,8,3000,32,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,50650
Sony,3000,5,Yes,1080,1920,1,2000,16,20.7,2,Android,Yes,Yes,Yes,1,Yes,Yes,56699
LG,3000,5.2,Yes,1080,1920,4,2000,16,13,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,22499
Motorola,2200,4.7,Yes,720,1280,2,2000,16,10,2,Android,Yes,Yes,Yes,1,Yes,Yes,15000
Sony,2330,5,Yes,1080,1920,4,2000,16,13.1,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,32490
Samsung,2100,4.8,Yes,720,1280,4,1000,16,8,1.9,Android,Yes,Yes,Yes,1,Yes,Yes,5999
Samsung,2600,5,Yes,1080,1920,8,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,57915
Nokia,2000,4.5,Yes,768,1280,2,1000,32,8.7,1.3,Windows,Yes,Yes,Yes,1,Yes,No,8999
Oppo,4000,6.4,Yes,1080,2400,8,8000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,18690
Vivo,4500,6.38,Yes,1080,2340,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,18599
Motorola,4000,6.3,Yes,1080,2280,8,4000,64,48,25,Android,Yes,Yes,Yes,2,Yes,Yes,12999
Motorola,4000,6.2,Yes,720,1520,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Vivo,5000,6.35,Yes,720,1544,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8990
Xiaomi,5000,6.22,Yes,720,1520,8,2000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499
Oppo,5000,6.5,Yes,720,1600,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,14730
Samsung,4000,6.4,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8499
Infinix,5000,6.52,Yes,720,1600,8,4000,64,13,8,Android,Yes,Yes,Yes,2,No,No,8000
Xiaomi,4000,6.3,Yes,1080,2280,8,3000,32,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9195
Xiaomi,5000,6.22,Yes,720,1520,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Realme,4230,6.2,Yes,720,1520,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Infinix,4000,6.19,Yes,720,1500,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,9990
Honor,4000,6.59,Yes,1080,2340,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,13999
Motorola,3500,6.3,Yes,1080,2520,8,4000,128,12,12,Android,Yes,Yes,Yes,2,Yes,Yes,9999
LG,4000,6.26,Yes,720,1520,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,8499
Infinix,4000,6.19,Yes,720,1500,8,6000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,10999
Xiaomi,4000,5.45,Yes,720,1440,8,2000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,5499
Infinix,4000,6.21,Yes,720,1520,8,3000,32,13,32,Android,Yes,Yes,Yes,2,No,No,7999
Vivo,5000,6.35,Yes,720,1544,8,4000,128,13,20,Android,Yes,Yes,Yes,2,No,No,11490
Infinix,3500,6.21,Yes,720,1520,4,2000,32,13,8,Android,Yes,Yes,No,2,No,No,6999
Oppo,4000,6.1,Yes,720,1560,8,2000,32,8,5,Android,Yes,Yes,No,2,No,No,6670
Oppo,4230,6.2,Yes,1520,720,8,2000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7935
Xiaomi,4000,6.26,Yes,720,1520,8,3000,32,12,32,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Realme,4000,6.1,Yes,720,1560,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999
Honor,3400,6.21,Yes,1080,2340,8,4000,128,24,32,Android,Yes,Yes,Yes,2,Yes,Yes,10999
Vivo,4500,6.38,Yes,1080,2340,8,4000,128,16,32,Android,Yes,Yes,Yes,2,No,No,14979
Realme,4230,6.2,Yes,720,1520,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,8490
Vivo,4000,6.53,Yes,1080,2340,8,6000,64,12,32,Android,Yes,Yes,Yes,2,Yes,Yes,14990
Xiaomi,3000,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499
Meizu,3010,6,Yes,1080,2160,8,8000,128,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,19990
Asus,4000,6.26,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7499
Infinix,4000,5.93,Yes,1080,2160,8,4000,64,16,16,Android,Yes,Yes,Yes,1,No,No,15999
Infinix,4000,6.2,Yes,720,1500,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,10999
Asus,3000,5.45,Yes,720,1440,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Asus,4000,5.45,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,No,2,Yes,Yes,5999
Lenovo,3000,5.7,Yes,720,1440,8,3000,32,13,13,Android,Yes,Yes,No,1,No,No,5899
Nokia,3500,6,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6850
Honor,4000,6.26,Yes,720,1520,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Panasonic,3000,6.18,Yes,1080,2246,8,6000,128,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,29999
Realme,4230,6.2,Yes,720,1520,8,2000,16,13,5,Android,Yes,Yes,No,1,No,No,7990
BlackBerry,3000,4.5,Yes,1080,1620,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,22990
Realme,4230,6.2,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890
Infinix,4500,5.99,Yes,1080,2160,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,5850
Oppo,3500,6.3,Yes,1080,2340,8,6000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,17990
Oppo,3500,6.3,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,11994
Honor,3000,5.84,Yes,1080,2280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,7499
Huawei,3340,6.3,Yes,1080,2340,8,4000,128,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,21999
Huawei,3750,6.3,Yes,1080,2340,8,6000,128,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,15999
Xiaomi,4000,5.84,Yes,1080,2280,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,8290
Xiaomi,3000,5.45,Yes,720,1440,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5699
Xiaomi,3080,5.99,Yes,720,1440,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Tecno,3750,6,Yes,720,1440,8,4000,64,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,7420
Xiaomi,3000,5.45,Yes,720,1440,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,7180
Samsung,3500,6,Yes,720,1440,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,15499
Samsung,3000,5.6,Yes,720,1480,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,9490
Samsung,3500,6,Yes,1080,2220,8,4000,64,16,24,Android,Yes,Yes,Yes,1,No,No,15999
Motorola,5000,6,Yes,720,1440,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,9399
Nubia,3800,6,Yes,1080,2160,8,8000,128,24,8,Android,Yes,Yes,Yes,2,Yes,Yes,24860
InFocus,4000,5.7,Yes,720,1440,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,7990
Itel,3000,5.65,Yes,720,1440,4,3000,16,13,13,Android,Yes,Yes,No,2,Yes,Yes,8480
Huawei,3000,5.84,Yes,1080,2280,8,4000,64,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,12800
Vivo,3260,6.3,Yes,1080,2280,8,4000,64,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,13740
Motorola,4000,5.7,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,No,2,No,Yes,8049
Honor,3000,5.99,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7799
Motorola,3000,5.7,Yes,1080,2160,8,3000,32,12,16,Android,Yes,Yes,No,2,Yes,Yes,10499
Smartron,5000,5.2,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10500
Oppo,3180,5.7,Yes,720,1440,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6799
Honor,3000,5.65,Yes,1080,2160,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,8929
10.or,3500,5.2,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
InFocus,4000,5.7,Yes,720,1440,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6850
Samsung,3500,6,Yes,1080,2220,8,6000,64,16,16,Android,Yes,Yes,Yes,1,No,No,16900
Gionee,3030,5.7,Yes,720,1440,8,4000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,6319
Vivo,3000,5.7,Yes,720,1440,8,4000,32,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,13990
Xiaomi,3080,5.5,Yes,720,1280,8,2000,16,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,8490
Xiaomi,3000,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7199
Honor,3340,5.93,Yes,1080,2160,8,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,12722
Honor,3020,5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8499
Gionee,5000,6,Yes,720,1440,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890
Vivo,3225,5.99,Yes,720,1440,8,4000,64,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,10990
Asus,3000,5.5,Yes,1080,1920,8,4000,64,16,12,Android,Yes,Yes,Yes,2,Yes,Yes,25999
LG,3000,5.5,Yes,1080,2160,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8948
Oppo,3200,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,11990
Smartron,3000,5.5,Yes,1080,1920,8,4000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999
Vivo,3000,5.5,Yes,720,1280,8,4000,64,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,12990
Micromax,4000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,No,2,No,Yes,5499
Lava,3020,5.5,Yes,720,1280,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12000
Nubia,3630,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,12990
Cat,3800,4.7,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,39999
Coolpad,2500,5,Yes,720,1280,4,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,4290
Gionee,4010,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Sony,2700,6,Yes,1080,1920,8,4000,64,23,16,Android,Yes,Yes,Yes,2,No,Yes,5994
Sony,2900,5.2,Yes,1080,1920,4,4000,32,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,29990
Gionee,4550,6,Yes,1080,1920,8,4000,64,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,994
Motorola,2800,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5450
Honor,3000,5.2,Yes,1080,1920,8,4000,64,12,8,Android,Yes,Yes,No,2,Yes,Yes,14933
Vivo,3055,5.5,Yes,1080,1920,8,4000,64,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,12500
Nokia,3000,5.5,Yes,1080,1920,8,2000,16,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,7250
Samsung,3600,5.7,Yes,1080,1920,8,3000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,25900
Samsung,3000,5.2,Yes,1080,1920,8,3000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,18999
Coolpad,2500,5.5,Yes,720,1080,8,3000,32,13,5,Android,Yes,Yes,No,2,Yes,Yes,8990
Oppo,2900,5.2,Yes,720,1280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,12000
Vivo,3000,5.5,Yes,720,1280,8,4000,32,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,16541
Asus,4100,5.5,Yes,1080,1920,8,2000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8599
Lyf,3200,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499
InFocus,3000,5.5,Yes,1080,1920,10,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999
Honor,3340,5.5,Yes,1080,1920,8,3000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,13999
Intex,3200,5,Yes,720,1280,1,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5499
Lenovo,5100,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,16999
Lenovo,4000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890
Gionee,3150,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12000
Coolpad,4000,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12639
Oppo,3075,5.5,Yes,720,1280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,15990
BlackBerry,2610,5.2,Yes,1080,1920,8,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,11999
Asus,3000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,5499
Lenovo,4050,6.4,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,9999
Yu,4000,5.5,Yes,1080,1920,8,4000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Coolpad,3000,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6249
LeEco,3000,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7990
Vivo,3000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,17979
Oppo,2850,5.5,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,17990
InFocus,2500,5,Yes,720,1280,4,3000,16,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,9990
Lenovo,2750,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999
Lenovo,2750,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Xolo,4000,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
LG,2300,4.93,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,7990
Coolpad,2500,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Lenovo,3300,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8990
Gionee,5020,6,Yes,1080,1920,8,3000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,23900
Intex,2850,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9630
Yu,3000,5.2,Yes,1440,2560,8,4000,32,21,8,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,29999
InFocus,2600,5.5,Yes,1080,1920,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,4990
Gionee,4000,5,Yes,720,1280,4,3000,32,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7499
Gionee,3150,5.5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,15998
Motorola,2470,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,16999
Micromax,2900,5.2,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6800
Honor,3000,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7400
Coolpad,3000,5.5,Yes,720,1280,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9499
HTC,2600,5.5,Yes,720,1280,8,2000,16,13,4,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Yu,2000,4.7,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,4695
Sony,2900,5.2,Yes,1080,1920,8,3000,32,23,5,Android,Yes,Yes,Yes,2,Yes,Yes,45999
Acer,4000,5.5,Yes,720,1280,8,3000,32,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,7190
Xiaomi,2200,4.7,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Asus,5000,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Asus,3000,5.5,Yes,1080,1920,4,4000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,16999
Gionee,5000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4400
Asus,3000,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12999
Motorola,3000,5.7,Yes,1440,2560,6,3000,16,21,5,Android,Yes,Yes,Yes,2,Yes,Yes,20999
InFocus,2900,5.5,Yes,1080,1920,4,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7916
Xolo,3200,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,11936
Phicomm,2300,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,3238
Coolpad,2700,5.2,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Yu,2230,5,Yes,720,1280,4,2000,16,8,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,8999
Honor,2550,5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,8999
Lenovo,2300,5,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6399
Lenovo,2900,5.5,Yes,720,1280,8,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6666
Motorola,2390,4.5,Yes,540,960,4,1000,8,5,0.3,Android,Yes,Yes,Yes,1,Yes,No,4999
HTC,2000,4.7,Yes,540,960,8,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,9000
Lenovo,2300,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5000
Asus,3000,5.5,Yes,1080,1920,4,4000,64,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,15999
Xiaomi,2200,4.7,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5399
Lava,4000,5,Yes,720,1280,4,1000,8,10,2,Android,Yes,Yes,Yes,2,Yes,No,4299
Vivo,1900,4.5,Yes,480,854,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,6539
Micromax,2300,4.7,Yes,720,1280,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,No,13895
Honor,3000,5.5,Yes,720,1280,4,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Xolo,2800,5.5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,6998
Micromax,2000,5,Yes,720,1280,8,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5490
Micromax,1700,4.5,Yes,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,4795
Karbonn,1700,4.5,No,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,2899
Spice,1700,4.5,No,480,854,4,1000,4,5,2.4,Android,Yes,Yes,Yes,2,Yes,No,7490
Micromax,2500,5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,4999
Nokia,2200,5,Yes,720,1280,4,1000,16,10,0.9,Windows,Yes,Yes,Yes,1,Yes,Yes,19999
HTC,2600,5.5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,25999
Samsung,1860,4.7,Yes,720,1280,8,2000,32,12,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,9999
Xolo,1920,5,Yes,720,1280,8,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,5499
Spice,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,4999
Xiaomi,2000,4.7,Yes,720,1280,4,1000,8,8,1.6,Android,Yes,Yes,Yes,2,Yes,No,5999
Honor,3000,5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999
Oppo,2140,5,Yes,720,1280,4,2000,16,13,0,Android,Yes,Yes,Yes,1,Yes,Yes,9990
Xolo,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,1,Yes,No,13667
Panasonic,2500,5.5,Yes,720,1280,8,1000,8,13,2,Android,Yes,Yes,Yes,2,Yes,No,11900
Motorola,1980,4.3,Yes,540,960,2,1000,4,5,0,Android,Yes,Yes,Yes,2,Yes,No,4999
Oppo,2410,5,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,11735
Xolo,2250,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,13606
Micromax,2350,5,Yes,1080,1920,8,2000,32,16,8,Android,Yes,Yes,Yes,2,Yes,No,5999
HTC,2600,5.5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,27390
Nokia,1500,4,Yes,480,800,2,512,4,3,0,Cyanogen,Yes,Yes,Yes,2,Yes,No,7999
Lenovo,3000,4.7,Yes,540,960,4,1000,8,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,6700
Gionee,2300,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,1,Yes,No,10999
LG,3200,5.9,Yes,1080,1920,4,3000,16,13,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,42021
Xolo,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,13677
Samsung,3100,5.5,Yes,720,1280,6,2000,16,8,2,Android,Yes,Yes,Yes,1,Yes,Yes,11250
Asus,3300,6,Yes,720,1280,2,2000,16,13,2,Android,Yes,Yes,Yes,2,Yes,No,8891
Nokia,1010,3,Yes,240,320,1,64,0.064,5,0,Cyanogen,Yes,Yes,No,2,No,No,3499
Nokia,2000,4.5,Yes,768,1280,2,2000,32,41,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,10990
Spice,2100,5,Yes,1080,1920,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,5999
Gionee,2000,5,Yes,1080,1920,4,2000,32,13,5,Android,Yes,Yes,Yes,1,Yes,No,21450
Micromax,2000,5,Yes,720,1280,4,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5199
Lava,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,9499
BlackBerry,2180,3.1,Yes,720,720,2,2000,8,5,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,10800
BlackBerry,2100,3.1,Yes,720,720,1,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,9899
Lenovo,4000,5,Yes,720,1280,4,1000,4,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,15410
Sony,1320,3.5,Yes,480,854,2,512,8,5,0.3,Android,Yes,Yes,Yes,1,Yes,No,4990
Sony,2370,4.6,Yes,720,1280,2,1000,8,8,0.3,Android,Yes,Yes,Yes,1,Yes,Yes,21490
Samsung,1350,2.6,Yes,240,320,1,384,0.16,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,5555
Samsung,2600,5.8,Yes,540,960,2,1000,8,8,1.9,Android,Yes,Yes,Yes,2,Yes,No,6999
Nokia,1300,3.8,Yes,480,800,2,512,8,5,0.3,Windows,Yes,Yes,Yes,1,Yes,No,4999
Nokia,1650,4.3,Yes,480,800,2,1000,8,8,0.3,Windows,Yes,Yes,Yes,1,Yes,No,19660
LG,2100,4.7,Yes,768,1280,4,2000,32,13,1.3,Android,Yes,Yes,Yes,1,Yes,No,9999
HTC,1650,4.3,Yes,540,960,2,1000,16,8,0.3,Android,Yes,Yes,Yes,1,Yes,No,17172
